subj_id,model,promptstyle,symb_num,prob_type,prob_ind,correct_answer,response,correct,total
350613,350613,02,num,row_constant,0,[3],3],1,1
350613,350613,02,num,row_constant,1,[4],4],1,1
350613,350613,02,num,row_constant,2,[7],7],1,1
350613,350613,02,num,row_constant,3,[3],3],1,1
350613,350613,02,num,row_constant,4,[6],6],1,1
350613,350613,02,num,row_constant,5,[7],7],1,1
350613,350613,02,num,row_constant,6,[5],5],1,1
350613,350613,02,num,row_constant,7,[9],9],1,1
350613,350613,02,num,row_constant,8,[4],4],1,1
350613,350613,02,num,row_constant,9,[4],4],1,1
350613,350613,02,num,row_constant,10,[8],8],1,1
350613,350613,02,num,row_constant,11,[9],9],1,1
350613,350613,02,num,row_constant,12,[0],0],1,1
350613,350613,02,num,row_constant,13,[0],0],1,1
350613,350613,02,num,row_constant,14,[1],1],1,1
350613,350613,02,num,row_constant,15,[4],4],1,1
350613,350613,02,num,row_constant,16,[3],3],1,1
350613,350613,02,num,row_constant,17,[7],7],1,1
350613,350613,02,num,row_constant,18,[0],0],1,1
350613,350613,02,num,row_constant,19,[5],5],1,1
350613,350613,02,num,row_constant,20,[0],0],1,1
350613,350613,02,num,row_constant,21,[3],3],1,1
350613,350613,02,num,row_constant,22,[7],7],1,1
350613,350613,02,num,row_constant,23,[9],9],1,1
350613,350613,02,num,row_constant,24,[7],7],1,1
350613,350613,02,num,row_constant,25,[4],4],1,1
350613,350613,02,num,row_constant,26,[5],5],1,1
350613,350613,02,num,row_constant,27,[9],9],1,1
350613,350613,02,num,row_constant,28,[6],6],1,1
350613,350613,02,num,row_constant,29,[7],7],1,1
350613,350613,02,num,row_constant,30,[6],6],1,1
350613,350613,02,num,row_constant,31,[4],4],1,1
350613,350613,02,num,row_constant,32,[2],2],1,1
350613,350613,02,num,row_constant,33,[4],4],1,1
350613,350613,02,num,row_constant,34,[6],6],1,1
350613,350613,02,num,row_constant,35,[7],7],1,1
350613,350613,02,num,row_constant,36,[4],4],1,1
350613,350613,02,num,row_constant,37,[3],3],1,1
350613,350613,02,num,row_constant,38,[0],0],1,1
